date,oil,ng
Jan-1994,15.02,2.347
Feb-1994,14.78,2.355
Mar-1994,14.65,2.109
Apr-1994,16.33,2.111
May-1994,17.83,1.941
Jun-1994,19.07,2.08
Jul-1994,19.66,1.963
Aug-1994,18.38,1.693
Sep-1994,17.47,1.619
Oct-1994,17.71,1.721
Nov-1994,18.1,1.771
Dec-1994,17.16,1.7
Jan-1995,17.99,1.426
Feb-1995,18.53,1.439
Mar-1995,18.55,1.534
Apr-1995,19.89,1.66
May-1995,19.74,1.707
Jun-1995,18.4,1.634
Jul-1995,17.26,1.494
Aug-1995,17.81,1.557
Sep-1995,18.21,1.674
Oct-1995,17.4,1.79
Nov-1995,18,1.961
Dec-1995,19.04,2.459
Jan-1996,18.7,2.483
Feb-1996,18.78,2.458
Mar-1996,21.18,2.353
Apr-1996,23.3,2.309
May-1996,21.09,2.283
Jun-1996,20.43,2.544
Jul-1996,21.25,2.521
Aug-1996,21.91,2.049
Sep-1996,23.93,1.933
Oct-1996,24.9,2.481
Nov-1996,23.55,3.023
Dec-1996,25.12,3.645
Jan-1997,25.18,3.067
Feb-1997,22.17,2.065
Mar-1997,20.97,1.899
Apr-1997,19.73,2.005
May-1997,20.87,2.253
Jun-1997,19.22,2.161
Jul-1997,19.66,2.134
Aug-1997,19.95,2.462
Sep-1997,19.78,2.873
Oct-1997,21.28,3.243
Nov-1997,20.22,3.092
Dec-1997,18.32,2.406
Jan-1998,16.73,2.101
Feb-1998,16.08,2.263
Mar-1998,15.04,2.253
Apr-1998,15.46,2.465
May-1998,14.93,2.16
Jun-1998,13.67,2.168
Jul-1998,14.09,2.147
Aug-1998,13.38,1.855
Sep-1998,14.97,2.04
Oct-1998,14.42,2.201
Nov-1998,13.04,2.321
Dec-1998,11.31,1.927
Jan-1999,12.49,1.831
Feb-1999,12.02,1.761
Mar-1999,14.68,1.801
Apr-1999,17.3,2.153
May-1999,17.77,2.272
Jun-1999,17.92,2.346
Jul-1999,20.1,2.307
Aug-1999,21.28,2.802
Sep-1999,23.79,2.636
Oct-1999,22.67,2.883
Nov-1999,24.77,2.549
Dec-1999,26.09,2.423
Jan-2000,27.01,2.385
Feb-2000,29.3,2.614
Mar-2000,29.89,2.828
Apr-2000,25.54,3.028
May-2000,28.81,3.596
Jun-2000,31.53,4.303
Jul-2000,29.72,3.972
Aug-2000,31.14,4.46
Sep-2000,33.87,5.13
Oct-2000,32.93,5.079
Nov-2000,34.26,5.74
Dec-2000,28.4,8.618
Jan-2001,29.26,7.825
Feb-2001,29.64,5.675
Mar-2001,27.27,5.189
Apr-2001,27.62,5.189
May-2001,28.68,4.244
Jun-2001,27.59,3.782
Jul-2001,26.47,3.167
Aug-2001,27.31,2.935
Sep-2001,25.69,2.213
Oct-2001,22.21,2.618
Nov-2001,19.67,2.786
Dec-2001,19.4,2.686
Jan-2002,19.73,2.19
Feb-2002,20.76,2.263
Mar-2002,24.44,3.015
Apr-2002,26.26,3.41
May-2002,26.95,3.563
Jun-2002,25.55,3.259
Jul-2002,26.94,2.942
Aug-2002,28.2,3.092
Sep-2002,29.67,3.569
Oct-2002,28.86,4.088
Nov-2002,26.19,4.04
Dec-2002,29.39,4.838
Jan-2003,32.7,5.381
Feb-2003,35.73,6.657
Mar-2003,33.16,5.786
Apr-2003,28.14,5.358
May-2003,28.07,5.926
Jun-2003,30.52,5.925
Jul-2003,30.7,5.034
Aug-2003,31.6,4.978
Sep-2003,28.31,4.667
Oct-2003,30.35,4.986
Nov-2003,31.06,4.834
Dec-2003,32.14,6.469
Jan-2004,34.22,6.272
Feb-2004,34.5,5.363
Mar-2004,36.72,5.542
Apr-2004,36.62,5.765
May-2004,40.28,6.398
Jun-2004,38.05,6.334
Jul-2004,40.81,6.064
Aug-2004,44.88,5.471
Sep-2004,45.94,5.219
Oct-2004,53.09,7.371
Nov-2004,48.48,7.608
Dec-2004,43.26,6.828
Jan-2005,46.85,6.186
Feb-2005,48.05,6.203
Mar-2005,54.63,7.045
Apr-2005,53.22,7.15
May-2005,49.87,6.486
Jun-2005,56.42,7.206
Jul-2005,59.03,7.579
Aug-2005,64.99,9.427
Sep-2005,65.55,12.111
Oct-2005,62.27,13.454
Nov-2005,58.34,11.695
Dec-2005,59.45,13.425
Jan-2006,65.54,9.136
Feb-2006,61.93,7.52
Mar-2006,62.97,6.979
Apr-2006,70.16,7.264
May-2006,70.96,6.372
Jun-2006,70.97,6.385
Jul-2006,74.46,6.222
Aug-2006,73.08,6.989
Sep-2006,63.9,5.218
Oct-2006,59.14,6.633
Nov-2006,59.4,7.995
Dec-2006,62.09,7.161
Jan-2007,54.35,6.775
Feb-2007,59.39,7.546
Mar-2007,60.74,7.221
Apr-2007,64.04,7.629
May-2007,63.53,7.821
Jun-2007,67.53,7.503
Jul-2007,74.15,6.399
Aug-2007,72.36,6.137
Sep-2007,79.63,6.188
Oct-2007,85.66,7.223
Nov-2007,94.63,7.778
Dec-2007,91.74,7.178
Jan-2008,92.93,7.991
Feb-2008,95.35,8.642
Mar-2008,105.42,9.624
Apr-2008,112.46,10.288
May-2008,125.46,11.381
Jun-2008,134.02,12.784
Jul-2008,133.48,11.067
Aug-2008,116.69,8.301
Sep-2008,103.76,7.485
Oct-2008,76.72,6.727
Nov-2008,57.44,6.7
Dec-2008,42.04,5.794
Jan-2009,41.92,5.07
Feb-2009,39.26,4.382
Mar-2009,48.06,4.002
Apr-2009,49.95,3.561
May-2009,59.21,3.934
Jun-2009,69.7,3.935
Jul-2009,64.29,3.551
Aug-2009,71.14,3.305
Sep-2009,69.47,3.462
Oct-2009,75.82,4.78
Nov-2009,78.15,4.628
Dec-2009,74.6,5.344
Jan-2010,78.4,5.599
Feb-2010,76.45,5.215
Mar-2010,81.29,4.301
Apr-2010,84.58,4.088
May-2010,74.12,4.155
Jun-2010,75.41,4.785
Jul-2010,76.38,4.59
Aug-2010,76.67,4.22
Sep-2010,75.55,3.898
Oct-2010,81.95,3.6
Nov-2010,84.32,4.042
Dec-2010,89.23,4.283
Jan-2011,89.58,4.499
Feb-2011,89.74,4.036
Mar-2011,102.98,4.069
Apr-2011,110.04,4.272
May-2011,101.36,4.336
Jun-2011,96.29,4.516
Jul-2011,97.34,4.353
Aug-2011,86.34,3.984
Sep-2011,85.61,3.849
Oct-2011,86.43,3.624
Nov-2011,97.16,3.558
Dec-2011,98.58,3.246
Jan-2012,100.32,2.708
Feb-2012,102.26,2.526
Mar-2012,106.21,2.296
Apr-2012,103.35,2.048
May-2012,94.72,2.493
Jun-2012,82.41,2.498
Jul-2012,87.93,2.963
Aug-2012,94.16,2.807
Sep-2012,94.56,2.918
